0	AQ
1	AQ
2	AQ
3	AQ
4	AQ
5	AQ
6	AQ
7	AQ
8	AQ
9	AQ
10	AQ
11	AQ
12	AQ
13	AQ
14	AQ
15	AQ
16	AQ
17	AQ
18	AQ
19	AQ
20	AQ
21	AQ
22	AQ
23	AQ
24	AQ
25	AQ
26	AQ
27	AQ
28	AQ
29	AQ
30	AQ
31	AQ
32	AQ
33	AQ
34	AQ
35	AQ
36	AQ
37	AQ
38	AQ
39	AQ
40	AQ
41	AQ
42	AQ
43	AQ
44	AQ
45	AQ
46	AQ
47	AQ
48	AQ
49	AQ
50	AQ
51	AQ
52	AQ
53	AQ
54	AQ
55	AQ
56	AQ
57	AQ
58	AQ
59	AQ
60	AQ
61	AQ
62	AQ
63	AQ
64	AQ
65	AQ
66	AQ
67	AQ
68	AQ
69	AQ
70	AQ
71	AQ
72	AQ
73	AQ
74	AQ
75	AQ
76	AQ
77	AQ
78	AQ
79	AQ
80	AQ
81	AQ
82	AQ
83	AQ
84	AQ
85	AQ
86	AQ
87	AQ
88	AQ
89	AQ
90	AQ
91	AQ
92	AQ
93	AQ
94	AQ
95	AQ
96	AQ
97	AQ
98	AQ
99	AQ
100	AQ
101	AQ
102	AQ
103	AQ
104	AQ
105	AQ
106	AQ
107	AQ
108	AQ
109	AQ
110	AQ
111	AQ
112	AQ
113	AQ
114	AQ
115	AQ
116	AQ
117	AQ
118	AQ
119	AQ
120	AQ
121	AQ
122	AQ
123	AQ
124	AQ
125	AQ
126	AQ
127	AQ
128	AQ
129	AQ
130	AQ
131	AQ
132	AQ
133	AQ
134	AQ
135	AQ
136	AQ
137	AQ
138	AQ
139	AQ
140	AQ
141	AQ
142	AQ
143	AQ
144	AQ
145	AQ
146	AQ
147	AQ
148	AQ
149	AQ
150	AQ
151	AQ
152	AQ
153	AQ
154	AQ
155	AQ
156	AQ
157	AQ
158	AQ
159	AQ
160	AQ
161	AQ
162	AQ
163	AQ
164	AQ
165	AQ
166	AQ
167	AQ
168	AQ
169	AQ
170	AQ
171	AQ
172	AQ
